Year_1,Year_2,Year_3,Year_4,Year_5,Year_6,Year_7,Year_8,Year_9,Year_10,Year_11,Year_12,Year_13,Year_14,Year_15,Year_16,Year_17,Year_18,Year_19,Year_20,Year_21,Year_22,grad,,
91.44160781,90.69493186,87.82592176,88.68786727,79.37157502,77.15638968,71.88568217,78.83995818,72.20193064,66.77477114,65.14500346,57.54738945,64.59741627,65.14634716,63.82297702,61.80194,69.50293542,59.35722173,64.15149509,65.25103958,66.3621107,74.94443903,116.4,1582.51095,1842.042746
93.38831002,86.70574201,86.40486415,79.64524278,78.78668115,80.48716005,74.60659816,66.84199717,70.2961431,66.73627808,64.79054774,69.0261609,63.79578164,64.18089297,62.09662385,61.74816375,63.79382335,60.8078244,69.37919346,68.94165541,71.85781076,75.19429164,116.4,1579.511787,1838.55172
93.21594385,92.33550306,86.62262939,79.7690071,79.73037818,78.78031463,77.84039586,71.92694834,66.00973519,69.62082869,64.4382743,59.32862215,63.62679419,65.99830311,61.59729613,57.82475453,59.62376231,59.10852318,68.24297797,64.86634413,65.93749333,67.69925421,116.4,1554.144084,1809.023714
96.58545067,88.08532055,86.68280187,86.42282045,85.76636357,72.23461913,77.0797482,72.18283527,69.6534603,67.66688328,71.72182383,59.6652047,66.52119023,62.89023323,62.95903768,64.35127193,60.52233603,64.91397386,67.54916082,66.30387427,70.00590445,72.93279365,116.4,1592.697108,1853.899434
94.25193338,89.6614426,86.82559779,82.47609882,76.55280172,71.97909732,74.69176489,72.93984593,65.76161203,64.88878248,70.00489086,61.57610933,66.89615081,62.75475286,63.81568294,55.66005627,65.64878942,68.40132438,64.59238624,70.20302096,69.64740866,68.84766908,116.4,1568.077219,1825.241883
95.16197066,93.78994245,87.50751811,79.60671413,77.71008713,74.8072123,73.82546809,68.32870335,70.4848222,64.04015403,68.70361224,60.31303718,67.380577,56.42832837,59.52000068,63.33792041,61.76305291,64.11103769,70.21726226,68.05271559,68.40396079,78.13340107,116.4,1571.627499,1829.374408
94.40011333,85.66165701,84.30464436,87.81939354,76.38841176,77.4425277,69.82320492,74.22272013,67.68751543,67.58094678,60.82676472,64.35720444,64.39473228,60.35063195,63.15080516,60.89401103,66.91865186,65.20731399,65.18256668,69.8060714,74.50156769,71.57695789,116.4,1572.498414,1830.388154
94.36139761,92.11946254,79.39241728,81.04135391,77.94344303,75.41033935,74.54380685,72.41051981,70.125904,63.78674837,66.85767388,61.09845081,61.87600393,65.5317501,59.26277076,63.07169722,62.00564279,64.83441452,65.50578021,66.9133354,64.89289543,71.48868457,116.4,1554.474492,1809.408309
98.17648579,90.89695878,82.42886709,75.28899793,82.97834056,73.42351909,75.10793305,78.35475952,64.59259055,65.8957996,62.19677855,67.99926531,62.5075281,65.27120567,63.71975411,58.94771809,66.44791171,67.94362851,65.29318338,67.27023329,64.2812995,69.48894506,116.4,1568.511703,1825.747623
93.86703337,90.83518025,86.17165982,85.67008737,73.57507517,76.29419639,74.30418037,66.3001213,69.23055179,70.15979868,69.93549846,62.26183605,64.77906177,60.85111324,62.78685786,63.07757032,59.10469401,63.35310216,63.46206756,68.36826307,69.63700803,67.27806767,116.4,1561.303025,1817.356721
98.57616101,90.81369321,85.44864411,82.80950512,76.03698166,74.86316945,77.60023457,70.89862593,64.44572735,69.57997718,66.0979527,65.92671192,61.04123226,63.61754063,57.83323187,67.4590431,65.27227955,61.71646137,64.60879883,63.67998955,69.0526411,74.34709787,116.4,1571.7257,1829.488715
90.29112847,89.28771421,90.8467901,82.48746386,80.00016907,74.93710562,70.40584441,74.19718762,68.83774063,70.54919976,66.95377968,63.97951003,62.60400893,64.43511087,63.79221278,63.48458969,57.07080671,65.38534442,69.60677093,66.21731466,70.94494401,67.04882304,116.4,1573.36356,1831.395183
96.0574329,90.51702218,82.9058611,79.67945981,80.43439946,74.90354582,72.69194206,70.12492115,67.10849729,69.07794334,63.55873813,62.06085364,66.73952196,62.91040894,60.95307595,59.74930808,60.66168253,63.17371415,59.51115067,64.593119,71.73821149,71.34943259,116.4,1550.500242,1804.782282
94.81203999,89.1923047,84.37937227,82.90266158,79.26623115,75.51229912,71.93580235,68.14828883,69.40186644,68.76810049,63.03035037,63.43012336,60.71094834,64.78673774,67.21126137,62.71928039,62.34416227,65.79810339,64.02992309,66.34997517,66.2744367,70.43153561,116.4,1561.435805,1817.511277
95.06094402,90.77508507,82.15425855,83.43153949,84.28103862,75.62979366,75.53010661,63.06275573,71.24944941,64.95285362,67.53094873,66.4295972,62.69100552,64.86889317,62.50413919,60.67505534,62.83991733,68.19773718,63.62580613,67.39796856,67.78690802,72.67703838,116.4,1573.35284,1831.382705
95.50340526,88.43701963,86.31860193,79.95460598,71.95800069,77.56920609,68.88138188,68.22215757,62.21819504,63.73288164,62.79181901,61.5911769,64.85667442,61.20686164,61.56185169,63.3311265,64.57152701,68.6496112,64.81930865,66.69959151,68.28537466,73.28721408,116.4,1544.447593,1797.736998
93.11953608,90.95450912,84.82888772,84.65134162,76.30525297,72.00996509,77.36296997,74.00429091,67.18590034,69.91968249,65.20422729,69.61352666,65.92144409,61.84384416,63.68460662,64.46888581,60.59685999,62.34961447,63.06407082,65.98210006,73.05264204,72.27124052,116.4,1578.395399,1837.252244
93.57664212,94.08996242,86.74310813,85.90696549,81.53858806,76.33836343,71.48113395,71.40237147,70.6594777,63.59536937,63.05928028,65.46163687,62.25985996,59.67341419,61.79401375,66.97006837,64.35758093,63.90756254,67.21901464,68.02854058,71.8515992,70.87349733,116.4,1580.788051,1840.037291
