sim,g0,sigma,D
118,0.7379102964459264,52.30205137829077,4.983342336059149
119,0.7767363758466813,57.66473886567091,2.3830490828204725
120,0.32895812070705815,74.88725845304785,3.9636559169244334
121,0.7498088414320827,63.81597858866081,2.9728606676682934
122,0.6993535716915751,61.39727035192853,3.09728930685418
123,0.9999999819420955,54.46364961036416,2.8680014408171144
124,0.8896420625958734,57.941974920124245,2.944170103833673
125,0.8884422601760297,51.467514231038564,3.84381286378521
126,0.9343494207018442,48.05458409781132,3.7379181052627692
127,0.8566340904414794,75.27337977456058,2.9528585558339078
128,0.8733634786564348,68.61710702300151,2.038702931055796
129,0.9225399695666692,62.00099035774732,2.0964941848292318
130,0.47842760310702687,62.90731626340821,4.648547505594973
131,0.5150663942492439,68.33971665285206,3.276287665683227
132,0.5624601765056515,69.21483475978542,2.1055529852994512
133,0.9999999994227049,54.62815867437312,3.203709003609901
134,0.9999999994407979,62.12634571805858,1.700478107476989
135,0.7534816425035177,60.567195424172915,2.8199778491722047
136,0.642129955099459,70.61034036851825,2.60417048777021
137,0.924272123094602,45.129137085924775,4.100904058765671
138,0.748712966321743,62.34214212048589,3.160570938588279
139,0.764996936853266,64.99200504282544,2.453794780655034
140,0.7284763979435983,60.041374648782416,2.63721389615321
141,0.9999999966581133,39.76713965905525,2.6239884177372264
142,0.6959789847783044,63.71281511583782,3.128325041249642
143,0.5425670217718426,71.58755052558949,2.765447243084856
144,0.9999999988971137,54.598890133063314,2.5993176818715096
145,0.9999999781579152,52.10406497224447,2.295150941983853
146,0.5312276902297541,82.95479187351889,2.6044401439135076
147,0.6889745343785445,64.37685895764425,2.837671989223675
148,0.9999999969268328,52.32936621744264,2.739449994074572
149,0.3545609332120531,78.23111321202337,2.7412847336049477
150,0.9990651272649788,49.80480921259695,3.1105490277025307
151,0.9999994942414684,57.096506109168615,2.870318363474308
152,0.756703035983604,59.28057686618582,3.363237741814623
153,0.8402568216910965,53.22648614988682,2.213331206596632
154,0.9999999966406857,33.969131027030635,4.666348863790803
155,0.7378982572262257,60.68828044763349,2.391828982560648
156,0.4442044126301841,68.19331234382749,4.22008993146108
157,0.5101306569612577,85.50278374769555,3.0479011888240533
158,0.8570327010644108,47.93769834396301,4.228962446871302
159,0.5940669484713037,66.70211290731558,2.9803458918853636
160,0.8963145272918268,66.39676106041044,1.9524505187117578
161,0.5484984249602167,73.1506512135247,1.8000056137745057
162,0.9192638545784646,63.10793737837496,2.2822837843265753
163,0.6664491839751852,54.607384724739724,3.5612410945359025
164,0.6642105876007336,59.46510707067576,3.3598096568247335
165,0.8622478238227537,59.41664888170223,2.9068778871851615
166,0.999999994189256,54.67010413840433,3.2006813801331626
167,0.9999999785625117,63.61840204031275,1.7950171415156695
168,0.6005235184784904,66.3821776398718,3.0723472618037735
169,0.8626475806848966,72.73797239704251,2.2279629493807707
170,0.4028279267643407,69.3222836298155,4.194735034099507
171,0.9999999959565569,58.30365208187252,2.5578004131041494
172,0.9999999942195118,50.62786298214532,3.045126275281052
173,0.9999999820622988,52.54948902269606,3.6336118522323226
174,0.31284116450255595,115.62755886537624,1.8721436376681204
175,0.4596184660166316,65.68465730908379,3.2152336315060657
176,0.6789867080643921,57.33327502059792,3.5908712471093547
177,0.9184239426915465,54.49419332182178,3.304381549849167
178,0.8000322157886295,52.50908933162973,3.608436937067206
179,0.5881546743323178,59.23900304467087,3.355163442559395
180,0.823146168395405,61.220301279550924,2.8780235120935602
181,0.896628508194556,66.2692371760527,2.3193219995669936
182,0.7043709760333045,72.2237918683044,2.082133133065628
183,0.6873754873013872,64.97702341839096,2.542068058424581
184,0.6412328102440453,73.60282721953261,2.1478998274070187
185,0.9999999822328213,49.437184259249506,3.431906624570177
186,0.9999999990438864,43.47649610814511,3.0138312741903843
187,0.999999994435438,70.22122222132185,1.5232498811610689
188,0.9999999828006169,53.454732923780384,2.045586899452079
189,0.838629986877458,56.53245922128129,3.1605027123215623
190,0.4112098803216372,70.61693281822681,3.562788226550921
191,0.510441978576028,76.57358336224368,2.4344355992071915
192,0.9999999977702009,45.39108349233544,4.159206757388783
193,0.9911979510562148,52.962340977164246,2.533605953902307
194,0.35048411961719145,56.91967198513226,5.599090795076861
195,0.9999999988870041,59.01110949823765,1.6539083617478851
196,0.9999999986180601,44.52435182937318,3.4806411809752955
197,0.429113007386962,63.568643375023726,5.611731795901721
198,0.5890111478503868,81.24701267206349,1.9587219853877815
199,0.7957325666299456,63.18474317960253,2.5699343833717236
200,0.999999999689164,36.55399737767238,5.200377110947728
201,0.7339178288049817,62.39168816166096,3.198765200022161
202,0.9999999979971831,46.67122495983794,4.116452343729869
203,0.4761230141673964,83.31732645093264,1.9299983701814578
204,0.781088041891757,58.49419983960537,2.9802053616325836
205,0.9999999975274823,48.751899446639065,2.2955128700085243
206,0.9999999989764619,47.04688793147694,2.9249085479193453
