method,parameter,estimate,se,time,sim,true,pct_diff,beta0_true,beta1_true
secr_joint,D.x.s,1.1457685410636884,0.12713972067113646,96.61999999999989,1,0.9375744496937841,22.205606332158624,0.48807024833457546,0.9375744496937841
secr_joint,g0,0.795678990532979,0.7580063134513622,96.61999999999989,1,0.8,-0.5401261833776344,0.48807024833457546,0.9375744496937841
secr_joint,sigma.(Intercept),4.093813282289705,0.07676301691310024,96.61999999999989,1,4.05,1.0818094392519875,0.48807024833457546,0.9375744496937841
secr_joint,sigma.x.s,-0.34260934173709,0.06099072643519617,96.61999999999989,1,-0.23,48.96058336395217,0.48807024833457546,0.9375744496937841
secr_glm,g0,0.7943088731015844,0.7542142995996374,41.82999999999993,1,0.8,-0.7113908623019582,0.48807024833457546,0.9375744496937841
secr_glm,sigma.(Intercept),4.09612502624865,0.07732274054518541,41.82999999999993,1,4.05,1.138889537003712,0.48807024833457546,0.9375744496937841
secr_glm,sigma.x.s,-0.3431636288220727,0.06153346510482224,41.82999999999993,1,-0.23,49.201577748727246,0.48807024833457546,0.9375744496937841
secr_glm,D.(Intercept),0.5013595897570866,0.08447077208931962,41.82999999999993,1,0.48807024833457546,2.7228337453179923,0.48807024833457546,0.9375744496937841
secr_glm,D.x.s,1.1467102079787517,0.08606855482607886,41.82999999999993,1,0.9375744496937841,22.306042827134657,0.48807024833457546,0.9375744496937841
secr_joint,D.(Intercept),0.07067411454321339,0.12795911136762841,82.22000000000025,1,0.2241561879539187,-68.47104013129346,0.2241561879539187,0.137679776805453
secr_joint,D.x.s,0.07631523350089452,0.13727722189639127,82.22000000000025,1,0.137679776805453,-44.570484299425495,0.2241561879539187,0.137679776805453
secr_joint,g0,0.80647852320264,0.7191622602297827,82.22000000000025,1,0.8,0.8098154003299968,0.2241561879539187,0.137679776805453
secr_joint,sigma.(Intercept),4.115061841879083,0.08403704083624856,82.22000000000025,1,4.05,1.6064652315822947,0.2241561879539187,0.137679776805453
secr_joint,sigma.x.s,-0.2475562283835329,0.06332145454919201,82.22000000000025,1,-0.23,7.633142775449079,0.2241561879539187,0.137679776805453
secr_glm,g0,0.8065667157452759,0.7196330009770294,50.13999999999987,1,0.8,0.8208394681594872,0.2241561879539187,0.137679776805453
