fit_method,method,parameter,estimate,se,sim
acre,acre,sigma,72.78663572613966,7.9378311161848565,30
acre,acre,D,3.440251066400077,0.6011264796410095,30
secr,secr,D,3.230781011038708,0.9354264623237991,31
secr,secr,g0,0.47025664459123995,0.16131453256461373,31
secr,secr,sigma,77.40722835991629,16.19940168648636,31
acre,acre,g0,0.4702567896023277,0.16127151896631942,31
acre,acre,sigma,77.40720133591401,16.012479230096563,31
acre,acre,D,3.2307827283673847,0.916118697637839,31
secr,secr,D,2.7739215024210444,0.5998461520055937,32
secr,secr,g0,0.7162420892935073,0.09705706893450437,32
secr,secr,sigma,105.95838730422854,13.592460369063696,32
acre,acre,g0,0.7161644662124942,0.0970858675270871,32
acre,acre,sigma,105.97444078225865,13.542255675844366,32
acre,acre,D,2.7737768856163094,0.592316780170302,32
secr,secr,D,1.7987680766672514,0.47223150606038633,33
secr,secr,g0,0.7427387410610934,0.14151569460610056,33
secr,secr,sigma,95.07383706642067,14.994946535637913,33
acre,acre,g0,0.7427612356693543,0.14147911867488838,33
acre,acre,sigma,95.06807813859137,14.882023633845893,33
acre,acre,D,1.798942438692753,0.4638837695432609,33
secr,secr,D,2.3946519597448432,0.5355424878605768,34
secr,secr,g0,0.7750157354094699,0.13920418903363097,34
secr,secr,sigma,83.89777828516337,11.010728423031118,34
acre,acre,g0,0.7750151364967232,0.1391828490205045,34
acre,acre,sigma,83.89782155451962,10.956060851742313,34
acre,acre,D,2.394655406968178,0.5287472896957001,34
secr,secr,D,1.5891905538119484,0.7037341572633279,35
secr,secr,g0,0.41529284725171095,0.11774139979272903,35
secr,secr,sigma,125.80756881492937,35.37745159630889,35
acre,acre,g0,0.4155239804689025,0.11769370082587724,35
acre,acre,sigma,125.56568275325208,34.14487170071582,35
acre,acre,D,1.5951624120549828,0.6623043490432787,35
secr,secr,D,2.6477918153884317,0.48022525626061024,36
secr,secr,g0,0.9999998345104765,7.471956807028953e-16,36
secr,secr,sigma,78.2885005877346,6.400575021505303,36
acre,acre,g0,0.9999999996340968,5.6777173963472326e-6,36
acre,acre,sigma,78.2886458038962,6.386302029781247,36
acre,acre,D,2.6477873654375856,0.4762073467610054,36
secr,secr,D,2.8402576207016583,0.5343595077726072,37
secr,secr,g0,0.9312338197983535,0.15928379017330332,37
secr,secr,sigma,73.7912889297149,8.097080882720414,37
acre,acre,g0,0.9312293163210933,0.15914371910261907,37
acre,acre,sigma,73.7916384728794,8.06453809777611,37
acre,acre,D,2.8402486220646024,0.5295528321219288,37
secr,secr,D,2.6906870442051862,0.5557239337369302,38
secr,secr,g0,0.8895938362417422,0.1612023396380188,38
secr,secr,sigma,71.74658340574179,9.570383448969803,38
acre,acre,g0,0.8895939523115953,0.16109144575713238,38
acre,acre,sigma,71.74657460406115,9.516198106410032,38
acre,acre,D,2.6906873206533937,0.5496413452730594,38
secr,secr,D,2.956742070951808,0.5806552695131235,39
secr,secr,g0,0.9172419585546312,0.1670023833620429,39
secr,secr,sigma,71.9916039655706,8.666859079091662,39
acre,acre,g0,0.9172371651480747,0.16693033081254097,39
acre,acre,sigma,71.99199821961581,8.628378996624283,39
acre,acre,D,2.956730950151465,0.5749483053165751,39
secr,secr,D,2.675561927496455,0.5553722280651203,40
secr,secr,g0,0.9133499248137383,0.15913218574788243,40
secr,secr,sigma,72.60971565126012,9.538070371590806,40
acre,acre,g0,0.913349694972298,0.15904114351919385,40
acre,acre,sigma,72.6097409100316,9.486840077803544,40
acre,acre,D,2.675561920270779,0.5492337779647568,40
secr,secr,D,2.4493967374471666,0.5346053974714728,41
secr,secr,g0,0.7852821582407802,0.1230058655607423,41
secr,secr,sigma,97.77799699418155,13.122996494654712,41
acre,acre,g0,0.7852640804543394,0.12298504666151078,41
acre,acre,sigma,97.78007267315066,13.054802293025167,41
acre,acre,D,2.449438424542581,0.5278765965310793,41
secr,secr,D,3.162504696815694,0.6982431838253056,42
secr,secr,g0,0.643617575502688,0.12422117140151367,42
secr,secr,sigma,88.33525425949514,12.2703715197786,42
acre,acre,g0,0.6436197917134584,0.12420858125465033,42
acre,acre,sigma,88.33455277820264,12.201973454039646,42
acre,acre,D,3.162553518679029,0.6894620229602145,42
secr,secr,D,3.2007106251521966,0.6889615568213675,43
secr,secr,g0,0.7002256007191735,0.13716977249347276,43
secr,secr,sigma,83.76076710353323,11.09750787271108,43
acre,acre,g0,0.7002236225773961,0.13715542439200562,43
acre,acre,sigma,83.76095733382024,11.042325438724973,43
acre,acre,D,3.200712471508401,0.6807984228043226,43
secr,secr,D,2.4302460336048735,0.5420758809272653,44
secr,secr,g0,0.7543124860736239,0.13264402701998523,44
secr,secr,sigma,91.99662941596009,12.412973498225384,44
acre,acre,g0,0.7543224885990227,0.13261566888109771,44
acre,acre,sigma,91.99420041791996,12.34360805758357,44
acre,acre,D,2.4303541068454484,0.5350594571217204,44
secr,secr,D,3.1052585161311743,0.6907670601506132,45
secr,secr,g0,0.6394603326657745,0.11739290114857613,45
secr,secr,sigma,91.83841826339751,13.434606861394926,45
acre,acre,g0,0.6394750723669166,0.11735629013488902,45
acre,acre,sigma,91.83512977562191,13.344816654366696,45
acre,acre,D,3.1054218657957184,0.6816871489640608,45
secr,secr,D,3.037349523535972,0.6532872877437792,46
secr,secr,g0,0.6854089236586157,0.11503481471925747,46
secr,secr,sigma,87.53186474333694,11.875455197907748,46
acre,acre,g0,0.6854065818749633,0.11501754700821026,46
acre,acre,sigma,87.5321416754838,11.81183226169321,46
acre,acre,D,3.03735315060527,0.6454593208346274,46
secr,secr,D,3.912170015950456,0.6492961368547522,47
secr,secr,g0,0.9043644547039066,0.14559826220232813,47
secr,secr,sigma,70.7046278162791,7.604258150540973,47
acre,acre,g0,0.9043581084579423,0.14546525234537866,47
acre,acre,sigma,70.7050498580105,7.5721270889058045,47
acre,acre,D,3.9121577938971073,0.6446311925216439,47
secr,secr,D,3.2319567336105792,0.5804197652443907,48
secr,secr,g0,0.9284874688891033,0.11996600718981344,48
secr,secr,sigma,76.69998969098266,8.421180055739955,48
