method,parameter,estimate,se,time,sim,true,pct_diff
secr_joint,D.(Intercept),1.103212446193981,0.07977950597647022,91.03000000000247,17,1.0986122886681098,0.41872438287106023
secr_joint,D.x.s,0.43012667770275054,0.08590138728901027,91.03000000000247,17,0.5,-13.974664459449892
secr_joint,g0,0.7626604368380309,0.48690675135226036,91.03000000000247,17,0.8,-4.667445395246148
secr_joint,sigma.(Intercept),4.089717586428377,0.05914258984016798,91.03000000000247,17,4.05,0.9806811463796894
secr_joint,sigma.x.s,-0.16268330025499336,0.04101248945013107,91.03000000000247,17,-0.23,-29.26813032391593
secr_glm,g0,0.7623807700613986,0.48649534873581574,37.029999999998836,17,0.8,-4.702403742325181
secr_glm,sigma.(Intercept),4.090114913104081,0.059203776497906306,37.029999999998836,17,4.05,0.9904916815822524
secr_glm,sigma.x.s,-0.16247346067586516,0.04102666077873091,37.029999999998836,17,-0.23,-29.35936492353689
secr_glm,D.(Intercept),1.1029038351784903,0.05881857206586476,37.029999999998836,17,1.0986122886681098,0.3906333976641895
secr_glm,D.x.s,0.42985306649346966,0.0621212776684425,37.029999999998836,17,0.5,-14.029386701306068
secr_varprop,g0,0.7623807700613986,0.48649534873581574,38.37999999999738,17,0.8,-4.702403742325181
secr_varprop,sigma.(Intercept),4.090114913104081,0.059203776497906306,38.37999999999738,17,4.05,0.9904916815822524
secr_varprop,sigma.x.s,-0.16247346067586516,0.04102666077873091,38.37999999999738,17,-0.23,-29.35936492353689
secr_varprop,D.(Intercept),1.101619244745385,0.07982065807246727,38.37999999999738,17,1.0986122886681098,0.27370493742798385
secr_varprop,D.x.s,0.4302607617789571,0.085925160575526,38.37999999999738,17,0.5,-13.947847644208577
secr_joint,D.(Intercept),1.1396887514138359,0.0833190672009969,107.59000000000015,18,1.0986122886681098,3.7389407682235793
secr_joint,D.x.s,0.5550354137763668,0.08908206356041064,107.59000000000015,18,0.5,11.007082755273355
secr_joint,g0,0.7966995387751605,0.6219417282300505,107.59000000000015,18,0.8,-0.4125576531049391
secr_joint,sigma.(Intercept),4.017186854203435,0.059615498343743856,107.59000000000015,18,4.05,-0.8102011307793833
secr_joint,sigma.x.s,-0.2491628834948769,0.04123874713497559,107.59000000000015,18,-0.23,8.331688476033426
secr_glm,g0,0.7956297816843182,0.6188242710520234,39.789999999997235,18,0.8,-0.5462772894602314
secr_glm,sigma.(Intercept),4.018236720034624,0.05968518038963982,39.789999999997235,18,4.05,-0.7842785176636045
secr_glm,sigma.x.s,-0.24852548901744423,0.041246773880286046,39.789999999997235,18,-0.23,8.05456044236705
secr_glm,D.(Intercept),1.1391144395336283,0.05996674138929846,39.789999999997235,18,1.0986122886681098,3.6866646480553107
secr_glm,D.x.s,0.5542124172300122,0.06340513948907968,39.789999999997235,18,0.5,10.842483446002449
secr_varprop,g0,0.7956297816843182,0.6188242710520234,41.17999999999665,18,0.8,-0.5462772894602314
secr_varprop,sigma.(Intercept),4.018236720034624,0.05968518038963982,41.17999999999665,18,4.05,-0.7842785176636045
secr_varprop,sigma.x.s,-0.24852548901744423,0.041246773880286046,41.17999999999665,18,-0.23,8.05456044236705
secr_varprop,D.(Intercept),1.1379982647939832,0.08337670049253858,41.17999999999665,18,1.0986122886681098,3.585066044875814
secr_varprop,D.x.s,0.5550101135728696,0.08908686284452363,41.17999999999665,18,0.5,11.002022714573911
secr_joint,D.(Intercept),1.1055747036411436,0.09056730864502684,99.31000000000131,19,1.0986122886681098,0.6337463220509442
secr_joint,D.x.s,0.4163679051262078,0.09439542086560364,99.31000000000131,19,0.5,-16.726418974758438
secr_joint,g0,0.664770367097303,0.40365530197013494,99.31000000000131,19,0.8,-16.903704112837133
secr_joint,sigma.(Intercept),4.104238941317445,0.06865403057655896,99.31000000000131,19,4.05,1.339233118949262
secr_joint,sigma.x.s,-0.19619892939856157,0.04550246607111854,99.31000000000131,19,-0.23,-14.696117652799323
secr_glm,g0,0.665042943530229,0.4040736682445095,36.30999999999767,19,0.8,-16.869632058721386
secr_glm,sigma.(Intercept),4.103863517081802,0.0686393109825239,36.30999999999767,19,4.05,1.329963384735853
secr_glm,sigma.x.s,-0.19639394168021712,0.045492702753468624,36.30999999999767,19,-0.23,-14.611329704253428
secr_glm,D.(Intercept),1.1058388255071254,0.06066164389869985,36.30999999999767,19,1.0986122886681098,0.6577877303535946
secr_glm,D.x.s,0.416631052097163,0.06425634782539609,36.30999999999767,19,0.5,-16.6737895805674
secr_varprop,g0,0.665042943530229,0.4040736682445095,37.719999999997526,19,0.8,-16.869632058721386
secr_varprop,sigma.(Intercept),4.103863517081802,0.0686393109825239,37.719999999997526,19,4.05,1.329963384735853
secr_varprop,sigma.x.s,-0.19639394168021712,0.045492702753468624,37.719999999997526,19,-0.23,-14.611329704253428
secr_varprop,D.(Intercept),1.1035873247351575,0.09054771707382053,37.719999999997526,19,1.0986122886681098,0.4528472982110161
secr_varprop,D.x.s,0.41650325672597577,0.09439357402439336,37.719999999997526,19,0.5,-16.699348654804847
secr_joint,D.(Intercept),1.3260864238506218,0.08166110799078014,104.56999999999971,20,1.0986122886681098,20.705588088613837
secr_joint,D.x.s,0.569592736242999,0.09166423857237309,104.56999999999971,20,0.5,13.9185472485998
secr_joint,g0,0.7772455375103496,0.5802210677806926,104.56999999999971,20,0.8,-2.844307811206301
secr_joint,sigma.(Intercept),3.9898574014943042,0.06069386392450347,104.56999999999971,20,4.05,-1.4850024322393973
secr_joint,sigma.x.s,-0.23803834666440107,0.04520890863783872,104.56999999999971,20,-0.23,3.4949333323482885
