sim,parameter,estimate
76,D,3.65763302884585
76,sigma,48.07456145563077
77,g0,0.67266346256113
77,D,3.907050621190305
77,sigma,56.524326841587566
78,g0,0.9999999990015351
78,D,2.894203553996785
78,sigma,54.06349836632097
79,g0,0.39005629255905644
79,D,3.146271637377043
79,sigma,68.7712298569328
80,g0,0.9999999979215893
80,D,3.0394543930314026
80,sigma,44.43701489960062
81,g0,0.5862005989334352
81,D,3.289861591964104
81,sigma,66.70297859797068
82,g0,0.999999998235606
82,D,2.5918276973307397
82,sigma,54.726932346257165
83,g0,0.9777765366308091
83,D,2.663977307020345
83,sigma,52.7052811424299
84,g0,0.6031293552757503
84,D,2.630469727175308
84,sigma,62.605826114359886
85,g0,0.948112666644555
85,D,2.8576793347523024
85,sigma,61.47632359451883
86,g0,0.999999999150805
86,D,2.4144640514915916
86,sigma,56.398070470641755
87,g0,0.798901990337968
87,D,2.8807282756849744
87,sigma,59.31780313414667
88,g0,0.9999999985475169
88,D,3.676516537509377
88,sigma,47.88149355941129
89,g0,0.9999999847743788
89,D,3.111481462094526
89,sigma,53.473743862551615
90,g0,0.7309269684898287
90,D,1.98471026375833
90,sigma,63.84750367507675
91,g0,0.9999999990839142
91,D,3.203848787752193
91,sigma,54.62622451327266
92,g0,0.9999999983270574
92,D,1.790083370869692
92,sigma,63.76021595859952
93,g0,0.698427675581054
93,D,3.073352729114895
93,sigma,60.4420425168048
94,g0,0.7984323223952717
94,D,4.052363946723482
94,sigma,59.320385055177475
95,g0,0.875585000983748
95,D,3.491956893137823
95,sigma,54.67015043341373
96,g0,0.7157274211844279
96,D,2.780210754314309
96,sigma,58.321766061391244
97,g0,0.9901574150660789
97,D,3.3445887500221336
97,sigma,57.624116040343054
98,g0,0.8435489954963504
98,D,2.745352800600812
98,sigma,58.46896839920083
99,g0,0.9999999994360962
99,D,1.6709767465133905
99,sigma,65.21935991920887
100,g0,0.9999999907293413
100,D,2.901298487494607
100,sigma,55.279592674386
101,g0,0.9999999959768809
101,D,2.2556081751595136
101,sigma,54.5425411772717
102,g0,0.8787835667892918
102,D,3.368498826003052
102,sigma,52.58831608947546
103,g0,0.99999999205663
103,D,3.1877303706095566
103,sigma,45.24389652787991
104,g0,0.9999999984886166
104,D,2.8740285926320577
104,sigma,57.03642700922506
105,g0,0.9325758496201028
105,D,2.655951558518817
105,sigma,61.39749405963557
106,g0,0.9999999887720764
106,D,3.766712983623895
