fit_method,method,parameter,estimate,se,sim,true,pct_diff
secr,secr,D,4.3793436708864695,0.24026857242094357,7,5,-12.41312658227061
secr,secr,g0,0.7691385322145755,0.034984317819291316,7,0.8,-3.8576834731780667
secr,secr,sigma,83.94012552386874,2.8668606405605224,7,80,4.92515690483593
acre,acre,g0,0.7691340950298048,0.034975938647784165,7,0.8,-3.858238121274407
acre,acre,sigma,83.94067450720377,2.863571768879818,7,80,4.925843134004708
acre,acre,D,4.379326667578973,0.23994967928784586,7,5,-12.413466648420535
secr,secr,D,5.1122631034763515,0.2680319741296202,8,5,2.24526206952703
secr,secr,g0,0.7557555957452106,0.03344224825380415,8,0.8,-5.530550531848685
secr,secr,sigma,83.28730441557528,2.7441700105294173,8,80,4.1091305194690975
acre,acre,g0,0.7557540933576794,0.033435519631235616,8,0.8,-5.53073833029008
acre,acre,sigma,83.28747335918952,2.7413216384782464,8,80,4.109341698986899
acre,acre,D,5.112261287978223,0.2677006518484567,8,5,2.2452257595644554
secr,secr,D,5.39370449976944,0.26363932987657784,9,5,7.874089995388793
secr,secr,g0,0.8180573439781164,0.035916790398166164,9,0.8,2.2571679972645393
secr,secr,sigma,76.52986661670803,2.3759515882610063,9,80,-4.337666729114957
acre,acre,g0,0.8180523369096327,0.03590151302592128,9,0.8,2.256542113704088
acre,acre,sigma,76.53035530936987,2.373030399370933,9,80,-4.337055863287667
acre,acre,D,5.393680829814558,0.26335732317752125,9,5,7.873616596291163
secr,secr,D,4.716683706572259,0.26224009582409974,10,5,-5.666325868554818
secr,secr,g0,0.7148771933690042,0.03225106923778126,10,0.8,-10.640350828874476
secr,secr,sigma,88.56074076173404,3.1115496486427703,10,80,10.700925952167548
acre,acre,g0,0.7148795653127944,0.03224420884367247,10,0.8,-10.640054335900706
acre,acre,sigma,88.56010716784745,3.10780503267653,10,80,10.70013395980931
acre,acre,D,4.716752552259639,0.26185147988208224,10,5,-5.664948954807212
secr,secr,D,4.708285551287684,0.24782078692163742,11,5,-5.83428897424632
secr,secr,g0,0.8002766346114076,0.03706662154241143,11,0.8,0.03457932642594863
secr,secr,sigma,79.58504262371937,2.647908543240189,11,80,-0.518696720350782
acre,acre,g0,0.8002725431342301,0.037052299983360924,11,0.8,0.034067891778760684
acre,acre,sigma,79.58544358900944,2.644653884850968,11,80,-0.5181955137381955
acre,acre,D,4.7082717019251374,0.24752039184032779,11,5,-5.834565961497251
secr,secr,D,4.80157738873306,0.2617350186473236,12,5,-3.968452225338801
secr,secr,g0,0.7306795015299585,0.031072159502338107,12,0.8,-8.66506230875519
secr,secr,sigma,88.32417091137413,2.9805971657190438,12,80,10.405213639217656
acre,acre,g0,0.7306805464256234,0.031070185661096848,12,0.8,-8.66493169679708
acre,acre,sigma,88.32378090069258,2.9773975526224374,12,80,10.404726125865729
acre,acre,D,4.8016299622029885,0.2613656041350273,12,5,-3.967400755940229
secr,secr,D,4.776596180149024,0.24811776427149632,13,5,-4.468076397019516
secr,secr,g0,0.7912449137639178,0.0365245067264755,13,0.8,-1.094385779510279
secr,secr,sigma,80.72105223656935,2.642394073781533,13,80,0.9013152957116864
acre,acre,g0,0.791240789763504,0.03651197273961553,13,0.8,-1.094901279562008
acre,acre,sigma,80.72150058695712,2.639237786967939,13,80,0.9018757336964001
acre,acre,D,4.776580026556375,0.24782283994097545,13,5,-4.4683994688725015
secr,secr,D,5.213031522390671,0.26031359046599306,14,5,4.260630447813423
secr,secr,g0,0.8203821511047825,0.038389375877065174,14,0.8,2.5477688880978095
secr,secr,sigma,75.37601144224658,2.414494405629566,14,80,-5.779985697191776
acre,acre,g0,0.8203772168113761,0.038372558491955255,14,0.8,2.5471521014220064
acre,acre,sigma,75.37645295187909,2.411472636027665,14,80,-5.77943381015114
acre,acre,D,5.2130126494168305,0.26003429460390237,14,5,4.26025298833661
secr,secr,D,4.893787289676793,0.2416473811780781,15,5,-2.1242542064641334
secr,secr,g0,0.8625350338676349,0.03433079705912744,15,0.8,7.816879233454352
secr,secr,sigma,79.59596158735785,2.3751857432008388,15,80,-0.5050480158026893
acre,acre,g0,0.8625349771340027,0.034316847633511144,15,0.8,7.816872141750336
acre,acre,sigma,79.59594572898038,2.372479109454969,15,80,-0.5050678387745222
acre,acre,D,4.893791594226458,0.24138494978675604,15,5,-2.124168115470848
secr,secr,D,5.57015827884244,0.2637446342140842,16,5,11.4031655768488
secr,secr,g0,0.8301375424984863,0.033031674760930954,16,0.8,3.7671928123107765
secr,secr,sigma,79.05374026355555,2.3155650760962025,16,80,-1.1828246705555578
acre,acre,g0,0.830132675709126,0.03301977069975084,16,0.8,3.7665844636407404
acre,acre,sigma,79.05421409545703,2.312969541551758,16,80,-1.182232380678716
acre,acre,D,5.570135160660846,0.26346984299844634,16,5,11.40270321321692
secr,secr,D,5.008405325897699,0.24213856698608782,17,5,0.16810651795397646
secr,secr,g0,0.8684976169189647,0.03461778827259744,17,0.8,8.562202114870576
secr,secr,sigma,77.97408986702717,2.3058578410459805,17,80,-2.5323876662160316
acre,acre,g0,0.8684932847678216,0.03459873391349057,17,0.8,8.561660595977697
acre,acre,sigma,77.97453006083872,2.302962097318399,17,80,-2.531837423951604
acre,acre,D,5.008385709132547,0.24188346158391824,17,5,0.16771418265093985
secr,secr,D,4.684759205874012,0.24875267004045887,18,5,-6.304815882519765
secr,secr,g0,0.7963972423471909,0.035077780482374976,18,0.8,-0.450344706601144
secr,secr,sigma,81.48576299685466,2.7222076444115366,18,80,1.8572037460683255
acre,acre,g0,0.7963932106500358,0.03506780579275533,18,0.8,-0.45084866874553486
